Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Nippon India Retirement Fund-Wealth Creation(G),Pranay Sinha,HY-SOL,3,3336.5,1.92,Open Ended,11-Feb-15,BSE 500 - TRI,29.18,30.67,23.38,-0.8,-5.42,1,20.6,26.56,17.75,16.4,6.94,45,67,202904,67.7,14.97,16.67,Financials,0.08,0.07,6.28,8.57,1.07,1.53,2.7,15.39,Hybrid : Solution Oriented,Nil
Nippon India Short Term Fund(G),Sushil Budhia,DT-SD,4,7627.1,0.94,Open Ended,18-Dec-02,CRISIL Short Duration Debt Index,50.44,50.44,46.73,0.63,1.61,4.13,7.96,7.38,5.97,6.33,7.01,0,39,424736,51.94,33.54,9.33,Automobile and Ancillaries,3.64,2.84,7.62,3,6.18,12.74,0.3,0.63,Debt : Short Duration,Nil
Nippon India Silver ETF,Vikram Dhawan,GOLD-ETF,3,5214,0.56,Open Ended,04-Feb-22,Silver,84.94,96.17,68.01,-4.22,-4.98,-2.68,15.72,10.09,6.6,26.36,13.93,35,50,184511,86.3,11.75,25.97,Technology,13.2,5.23,12.34,12.93,0.59,1.01,0.22,23.14,Gold : ETFs,Nil
Nippon India Silver ETF FOF-Reg(G),Himanshu Mange,FOF-DOM,5,497.7,0.58,Open Ended,02-Feb-22,Silver,13.53,15.34,10.89,-3.61,-4.52,-2.33,14.96,11.32,13.08,12.78,12.22,0,25,13189,52.9,45.23,1.78,Financials,4.46,2.27,3.51,10.94,0.56,0.98,0.8,23.76,FoFs : Domestic,1% on or before 15D Nil after 15D
Nippon India Small Cap Fund(G),Samir Rachh,EQ-SML,4,61646.4,1.43,Open Ended,16-Sep-10,Nifty Smallcap 250 - TRI,176.93,183.53,132.83,-0.11,-3.88,1.86,26.36,37.45,26.47,34.89,21.87,22,225,23605,11.51,13.98,69.56,Capital Goods,0.21,0.09,7.08,17.29,1.26,1.8,0.88,17.27,Equity : Small Cap,1% on or before 1Y Nil after 1Y
Nippon India Strategic Debt Fund(G),Sushil Budhia,DT-MD,2,117.4,1.07,Open Ended,26-Jun-14,CRISIL Medium Duration Debt Index,14.8,14.8,13.66,0.6,1.56,4.2,8.34,7.64,5.75,1.18,3.34,0,74,43510,34.16,20.93,15.72,Construction,4.71,3.41,8.12,2.92,5.08,10.31,0.42,0.83,Debt : Medium Duration,1% on or before 12M Nil after 12M
Nippon India Taiwan Equity Fund-Reg(G),Kinjal Desai,EQ-INTL,2,358.1,2.43,Open Ended,11-Dec-21,Taiwan Capitalization Weighted Stock Index,11.57,12.21,9.16,4.53,7.61,5.47,24.22,31.65,4.47,20.75,6.74,132,27,59072,45.42,23.29,3.86,Financials,6.02,3.2,6.99,21.47,0.8,1.27,0.42,29.55,Equity : International,1% on or before 3M Nil after 3M
Nippon India Ultra Short Duration Fund(G),Vivek Sharma,DT-USD,3,7783.3,1.12,Open Ended,06-Dec-01,CRISIL Ultra Short Term Debt Index,3887.6,3887.6,3626.6,0.62,1.72,3.48,7.21,6.95,6.17,6.21,5.94,0,30,163053,0.5,13.83,39.9,Healthcare,0.53,0.44,7.72,3.1,10.89,21.41,0.03,0.29,Debt : Ultra Short Duration,Nil
Nippon India US Equity Opp Fund(G),Kinjal Desai,EQ-INTL,5,719.2,2.39,Open Ended,23-Jul-15,CRISIL Liquid Overnight Index,33.9,35.18,27.4,-0.72,5.44,7.66,21.25,26.61,9.13,14.2,5.28,18,27,111588,61.11,19.29,30.7,Financials,6.9,0.46,6.66,16.53,1.24,2.02,0.16,13.89,Equity : International,1% on or before 1M Nil after 1M
Nippon India Value Fund(G),Dhrumil Shah,EQ-VAL,4,8535.6,1.85,Open Ended,08-Jun-05,NIFTY 500 - TRI,226.13,238.76,179.36,0.41,-5.57,1.98,22.31,32.57,22.8,24.28,15.88,49,83,135260,53.05,22.77,21.43,Financials,1.3,1.88,7.08,13.1,1.09,1.54,1.04,16.79,Equity : Value / Contra,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Nippon India Vision Fund(G),Amar Kalkundrikar,EQ-L&M,3,5546.2,1.96,Open Ended,08-Oct-95,NIFTY LargeMidcap 250 - TRI,1453.47,1504.57,1123.64,0.45,-4.04,2.8,26.13,30.82,20.77,21.43,12.68,106,77,166506,54.81,41.93,1.94,Financials,24.66,1.42,7.31,16.05,1.37,2.03,0.96,15.21,Equity : Large & Mid Cap,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
NJ Balanced Advantage Fund-Reg(G),Viral Shah,HY-EQ,4,3988.5,1.89,Open Ended,29-Oct-21,NIFTY 50 Hybrid Composite Debt 50:50 Index,13.59,14.64,12.21,-0.52,-6.64,-1.24,10.21,16.73,10.85,21.47,12.92,482,83,156218,42.2,17.27,7.77,Energy,0.17,0.17,6.56,2.12,0.68,1.02,1.39,9.11,Hybrid : Equity Oriented,Nil upto 5% of units and 1% for remaining units on or before 30D Nil after 30D
NJ ELSS Tax Saver Scheme-Reg(G),Viral Shah,EQ-ELSS,2,250.7,2.31,Open Ended,16-Jun-23,NIFTY 500 - TRI,14.88,16.24,12.78,1.72,-8.7,-0.54,14.82,37.34,33.35,22.34,14.91,103,25,49657,15.27,57.23,26.94,Healthcare,3.98,2.07,7.55,6.68,0.72,1.13,0.83,14.98,Equity : Tax Saving (ELSS),Nil
NJ Flexi Cap Fund-Reg(G),Dhaval Patel,EQ-FLEX,4,1966.5,2.03,Open Ended,05-Sep-23,NIFTY 500 - TRI,13.98,16.13,12.01,-1.36,-12.39,-4.7,14.06,7.64,12.91,11.16,12.48,120,50,105429,55.28,29.71,13.84,Healthcare,0.32,2.87,7.06,5.9,0.63,0.93,0.96,17.17,Equity : Flexi Cap,Nil upto 5% of units and 1% for remaining units on or before 30D Nil after 30D
Old Bridge Focused Equity Fund-Reg(G),Tarang Agrawal,EQ-FLEX,2,1015.5,2.26,Open Ended,24-Jan-24,BSE 500 - TRI,11.82,12.9,9.4,-1.26,-7.7,3.43,7.37,10.03,13.13,17.6,6.76,18,23,49620,32.37,16.64,41.53,Healthcare,0.05,2.23,7.14,27.67,2.01,18.49,1.64,23.7,Equity : Flexi Cap,1% on or before 365D Nil after 365D
Parag Parikh Arbitrage Fund-Reg(G),Rajeev Thakkar,HY-ARB,1,1116.2,0.65,Open Ended,02-Nov-23,Nifty 50 Arbitrage - TRI,10.86,10.86,10.12,0.63,1.84,3.44,7.32,7.24,6.26,6,6.78,0,105,184863,47.81,16.7,4.73,Financials,0.36,0.33,7.16,3.43,3.06,6.46,-0.08,1.04,Hybrid : Arbitrage,0.25% on or before 30D Nil after 30D
Parag Parikh Conservative Hybrid Fund-Reg(G),Rajeev Thakkar,HY-DT(CO),1,2315.4,0.64,Open Ended,26-May-21,CRISIL Hybrid 85+15 - Conservative Index,14.34,14.38,12.78,0.09,-0.02,3.98,12.47,13.04,11.23,12.06,9.85,0,15,131973,7.95,2.52,2.04,Energy,3.88,3.11,7.26,6.3,2.57,4.02,0.65,3.22,Hybrid : Debt Oriented (Conservative),Nil upto 10% of units For remaining units 1% on or before 365D and Nil after 365D
Parag Parikh Dynamic Asset Allocation Fund-Reg(G),Rajeev Thakkar,HY-DYN,3,1384.8,0.62,Open Ended,27-Feb-24,CRISIL Hybrid 50+50 - Moderate Index,10.88,10.89,9.95,0.3,0.2,3.87,15.42,7.65,9.28,5.7,5.94,0,53,170598,25.65,5.65,5.09,Energy,4.09,3.22,7.27,0.91,0.63,8.74,0.46,14.59,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Parag Parikh ELSS Tax Saver Fund-Reg(G),Rajeev Thakkar,EQ-ELSS,1,4385.2,1.72,Open Ended,24-Jul-19,NIFTY 500 - TRI,30.97,32.02,25.24,0.74,-3.4,5.82,20.45,24.66,17.88,23.15,6.83,15.13,29,271063,69.63,3.9,7.84,Financials,11.4,3.2,7,12.12,1.37,2.1,0.74,11.53,Equity : Tax Saving (ELSS),Nil
Parag Parikh Flexi Cap Fund-Reg(G),Rajeev Thakkar,EQ-FLEX,5,84640.6,1.33,Open Ended,28-May-13,NIFTY 500 - TRI,80.99,82.67,65.14,1.3,-0.96,6.22,23.92,30.15,16.31,24.75,17.46,22.07,64,316360,59.71,3.87,3.26,Financials,0.37,2.5,3.91,15.22,1.69,2.6,0.68,11.07,Equity : Flexi Cap,Nil upto 10% of units. For remaining units 2% on or before 365D 1% after 365D but on or before 730D Nil after 730D
Parag Parikh Liquid Fund-Reg(G),Raj Mehta,DT-LIQ,3,2360.7,0.26,Open Ended,11-May-18,CRISIL Liquid Debt Index,1402.91,1402.91,1312.03,0.56,1.66,3.37,6.95,6.76,6.02,4.95,5.76,0,79,67324,38.64,6.67,13.79,Energy,0.13,0.12,6.84,0.48,10.19,3.6,1.02,0.05,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
PGIM India Arbitrage Fund-Reg(G),Chetan Chavan,HY-ARB,2,90.1,1.09,Open Ended,27-Aug-14,Nifty 50 Arbitrage,17.78,17.78,16.63,0.55,1.67,3.32,7.01,6.83,5.8,4.95,5.62,100,27,224420,53.75,10.71,2.44,Energy,0.02,0.02,7.11,2.9,2.84,6.14,-0.02,1,Hybrid : Arbitrage,0.25% on or before 30D Nil after 30D
PGIM India Balanced Advantage Fund-Reg(G),Utsav Mehta,HY-DYN,2,1037.5,2.17,Open Ended,04-Feb-21,CRISIL Hybrid 50+50 - Moderate Index,14.83,15.49,13.12,-0.88,-4.43,0.34,10.54,13.2,9.17,12.31,12.46,50,60,329682,54.57,9.23,4.57,Financials,10.13,5.68,7.07,1.92,0.72,1.09,1.53,8.84,Hybrid : Dynamic Asset Allocation,0.50% on or before 90D Nil after 90D
PGIM India Corp Bond Fund(G),Puneet Pal,DT-CORP,5,95.3,1.01,Open Ended,30-Jan-03,CRISIL Composite Bond Index,41.3,41.3,38.38,0.47,1.33,3.93,7.59,6.99,5.68,6.1,6.45,0,74,538946,73.77,1.28,73.07,Financials,4.78,3.46,7.35,2.37,4.63,9.21,0.38,0.76,Debt : Corporate Bond,Nil
PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund-Reg(G),Puneet Pal,DT-M&LD,5,27.9,0.41,Open Ended,22-Feb-23,CRISIL IBX Gilt Index - April 2028,11.51,11.51,10.69,0.57,1.39,3.96,7.74,18.54,6.6,4.46,7.02,0,54,166721,69.98,12.31,3.17,Healthcare,3.06,2.61,6.86,2.37,4.04,8.53,0.42,0.9,Debt : Medium to Long Duration,Nil
PGIM India Dynamic Bond Fund(G),Puneet Pal,DT-DYN,3,105.8,1.64,Open Ended,12-Jan-12,CRISIL Dynamic Bond Index,2528.03,2534.56,2315.77,0.22,0.39,3.75,8.98,7.45,5.72,5.61,7.03,0,20,96310,96.26,1.16,5.93,Energy,13.2,7.34,6.99,1.13,2.12,3.83,1.19,2.21,Debt : Dynamic Bond,Nil
PGIM India ELSS Tax Saver Fund-Reg(G),Sharma Vivek,EQ-ELSS,4,769.5,2.25,Open Ended,11-Dec-15,NIFTY 500 - TRI,34.98,36.17,28.8,1.5,-2.79,2.86,16.49,18.36,13.75,18.68,11.61,41,61,200663,59.01,21.72,14.49,Financials,1,2.57,7.13,7.89,0.94,1.42,0.84,12.98,Equity : Tax Saving (ELSS),Nil
PGIM India Emerging Markets Equity Fund(G),Chetan Gindodia,FOF-OVR,4,95.4,2.38,Open Ended,11-Sep-07,MSCI Emerging Market Index,15.49,16.08,12.38,2.24,2.38,6.61,20.64,17.55,-3.78,1.04,2.69,98,33,58757,70.78,1.25,3.71,Healthcare,9.89,2.84,6.9,12.9,1.11,1.84,1.42,15.36,FoFs : Overseas,0.50% on or before 90D Nil after 90D
PGIM India Equity Savings Fund(G),Anandha Padmanabhan Anjeneyan,HY-EQ,1,83,1.32,Open Ended,05-Feb-04,NIFTY 50 Equity Savings Index,47.67,47.78,44.22,0.39,0.18,2.49,7.43,7.85,6.31,7.21,7.77,36,41,381438,64.5,5.6,0.38,Financials,3.44,2.55,6.8,2.09,1.41,2.45,0.37,2.26,Hybrid : Equity Oriented,Nil
PGIM India Flexi Cap Fund-Reg(G),Anandha Padmanabhan Anjeneyan,EQ-FLEX,5,6354.3,1.78,Open Ended,04-Mar-15,NIFTY 500 - TRI,35.83,37.82,29.8,0.74,-4.89,2.4,16.42,18.39,9.7,20.53,4.89,56,62,194798,62.23,24.32,11.06,Financials,0.37,6.24,7.39,7.69,0.88,1.33,0.88,13.76,Equity : Flexi Cap,0.50% on or before 90D Nil after 90D
PGIM India Gilt Fund(G),Puneet Pal,DT-GILT,2,116.5,1.49,Open Ended,27-Oct-08,CRISIL Dynamic Gilt Index,29.08,29.18,26.63,0.19,0.07,3.65,8.96,7.68,5.67,5.75,6.86,0,28,140785,78.82,9.98,5.65,Financials,16.76,8.49,6.99,0.43,1.76,3.1,1.4,2.62,Debt : Gilt,Nil
PGIM India Global Equity Opp Fund(G),Chetan Gindodia,FOF-OVR,4,1356.5,2.38,Open Ended,13-May-10,MSCI AC World Index,43.17,45.4,33.64,-0.74,1.15,2.98,23.98,31.41,4.62,16.12,10.31,187,1,27568,78.14,15.89,6.79,Energy,0.01,2.16,7.42,19.03,1.16,1.92,0.46,17.62,FoFs : Overseas,0.50% on or before 90D Nil after 90D
PGIM India Global Select Real Estate Securities FoF-Reg(G),Chetan Gindodia,FOF-OVR,5,54.2,2.12,Open Ended,03-Dec-21,FTSE EPRA/NAREIT Developed Index,10.35,11.12,9.08,-5.99,-6.76,8.04,7.81,9.61,-0.73,21.4,6.29,0,61,283686,39.85,20.38,0.54,FMCG,10.22,3.81,7.32,0.98,0.37,0.58,1.27,12.9,FoFs : Overseas,0.50% on or before 90D Nil after 90D
PGIM India Healthcare Fund-Reg(G),Anandha Padmanabhan Anjeneyan,EQ-PHRM,4,1531.6,1.48,Open Ended,06-Dec-24,BSE Health Care - TRI,10.22,10.22,9.91,-1.07,-5.86,-1.93,23.72,23.04,6.86,11.01,6.38,0,66,64866,98.52,43.07,18.07,Financials,0.23,8.39,6.66,11.94,9.24,2.01,0.99,16.57,Equity : Sectoral - Pharma,0.50% on or before 90D Nil after 90D
PGIM India Hybrid Equity Fund(G),Sharma Vivek,HY-EQ,3,212.3,2.33,Open Ended,05-Feb-04,CRISIL Hybrid 35+65 - Aggressive Index,126.37,129.86,108.5,0.76,-1.17,2.45,15.06,15.99,8.98,12.06,8.59,30,39,278525,46.57,11.92,8.35,Financials,10.57,6.05,7,5.85,1.05,1.65,1.6,9.99,Hybrid : Equity Oriented,0.50% on or before 90D Nil after 90D
PGIM India Large and Mid Cap Fund(G),Vinay Paharia,EQ-L&M,3,597.2,2.34,Open Ended,12-Feb-24,NIFTY LargeMidcap 250 - TRI,12.21,12.67,9.93,1.34,-3.21,3.16,8.6,17.13,5.07,1.04,12.21,18,64,189318,53.94,35.77,4.86,Financials,31.71,3.07,7.09,13.91,0.8,1.48,1.56,0.32,Equity : Large & Mid Cap,0.50% on or before 90D Nil after 90D
PGIM India Large Cap Fund(G),Anandha Padmanabhan Anjeneyan,EQ-LC,1,593.5,2.38,Open Ended,30-Jan-03,NIFTY 100 - TRI,332.7,359.62,291.88,-0.2,-7.05,-0.6,10.36,15.25,10.69,13.04,10.5,49,43,410708,87.02,10.23,7.34,Financials,4.3,4.86,7.03,1.92,0.5,0.75,0.91,13.14,Equity : Large Cap,0.50% on or before 90D Nil after 90D
PGIM India Liquid Fund(G),Bhupesh Kalyani,DT-LIQ,3,450.8,0.22,Open Ended,04-Sep-07,CRISIL Liquid Debt Index,328.57,328.57,306.25,0.6,1.75,3.54,7.31,7.15,6.38,5.3,6.34,0,51,49317,62.57,31.59,26.44,Automobile and Ancillaries,0.11,0.11,7.03,0.71,9.49,5.34,0.91,0.08,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
PGIM India Midcap Opp Fund-Reg(G),Sharma Vivek,EQ-MID,5,11092.7,1.7,Open Ended,02-Dec-13,Nifty Midcap 150 - TRI,64.91,67.39,51.23,2.25,-3.6,2.29,21.66,21.44,13.41,28.56,15.98,41,77,70480,24.94,60.19,10.77,Financials,0.12,9.94,6.66,12.75,1.16,1.83,0.81,14.54,Equity : Mid Cap,0.50% on or before 90D Nil after 90D
PGIM India Money Market Fund-Reg(G),Puneet Pal,DT-MM,2,170.8,0.46,Open Ended,06-Mar-20,CRISIL Money Market Index,1278.45,1278.45,1192.71,0.6,1.7,3.52,7.21,7.15,6.23,13.78,7.5,0,30,155574,83.31,1.24,4.41,Financials,0.35,0.33,7.15,3.1,9.72,20.8,0.03,0.33,Debt : Money Market,Nil
PGIM India Multi Cap Fund-Reg(G),Sharma Vivek,EQ-MLC,4,341.1,2.39,Open Ended,10-Sep-24,Nifty500 Multicap 50:25:25 - TRI,9.75,10.21,9.15,0.73,-5.13,3.95,15.76,20.7,5.68,15.52,6.78,2,76,102130,47.07,20.92,28.52,Financials,0.32,7.34,6.96,0.55,5.53,20.74,1.04,0.33,Equity : Multi Cap,0.50% on or before 90D Nil after 90D
PGIM India Overnight Fund-Reg(G),Bhupesh Kalyani,DT-ON,2,74,0.15,Open Ended,27-Aug-19,Nifty 1D Rate Index,1292.37,1292.37,1211.9,0.55,1.62,3.25,6.66,6.62,5.96,4.89,9.57,0,17,148434,60.38,64.61,3.84,Financials,31.71,7.01,6.67,0.3,18.15,2.19,0.97,0.02,Debt : Overnight,Nil
PGIM India Retirement Fund-Reg(G),Vinay Paharia,HY-SOL,3,73.4,2.31,Open Ended,15-Apr-24,BSE 500 - TRI,11.9,12.31,9.9,0.86,-2.89,4.72,8.08,6.59,11.65,4.81,6.28,14,77,120668,45.09,24.64,27.3,Financials,0.12,0.46,6.92,3.25,0.91,0.83,1,1.9,Hybrid : Solution Oriented,Nil
PGIM India Small Cap Fund-Reg(G),Utsav Mehta,EQ-SML,5,1558.1,2.07,Open Ended,29-Jul-21,Nifty Smallcap 250 - TRI,16.31,16.95,12.53,-0.49,-3.81,4.26,20.16,22.46,12.51,6.39,9.85,51,65,17220,9.74,12.01,83.38,FMCG,3.64,3.66,7.27,12.45,1.05,1.63,0.68,15.12,Equity : Small Cap,0.50% on or before 90D Nil after 90D
PGIM India Ultra Short Duration Fund(G),Puneet Pal,DT-USD,4,241.3,0.92,Open Ended,04-Jul-08,CRISIL Ultra Short Term Debt Index,32.93,32.93,30.82,0.58,1.63,3.32,6.84,6.68,5.89,5.3,7.21,0,63,685223,46.94,15.53,1.9,Financials,0.35,0.32,7.27,2.72,9.29,19.41,0.03,0.3,Debt : Ultra Short Duration,Nil
Quant Absolute Fund(G),Sanjeev Sharma,HY-EQ,5,2198.8,2.04,Open Ended,20-Mar-01,NIFTY 50 Hybrid Composite Debt 65:35 Index,402.63,449.31,361.82,-2.97,-10.36,-7.61,10.46,13.51,13.61,23.26,14.91,244,17,356058,72.33,17.53,0.98,Financials,10.81,1.82,6.5,2.44,0.53,0.8,1.68,13.81,Hybrid : Equity Oriented,1% on or before 15D Nil after 15D
Quant Active Fund(G),Ankit Pande,EQ-MLC,5,10613.9,1.73,Open Ended,20-Mar-01,NIFTY 500 - TRI,650.34,731.25,573.02,-2.5,-9.76,-9.35,12.04,18.48,16.09,28.19,18.42,206,53,87995,41.84,25.49,28.92,Financials,103,3.86,7.23,4.59,0.52,0.74,1.02,18.73,Equity : Multi Cap,1% on or before 15D Nil after 15D
Quant BFSI Fund-Reg(G),Sandeep Tandon,EQ-FIN,3,626.2,2.34,Open Ended,20-Jun-23,Nifty Financial Services - TRI,15.93,17.86,13.78,0.69,-10.76,-8.75,13.13,5.13,5.59,29.73,11.27,526,17,76882,44.23,5.85,41.51,Financials,7.24,2.5,6.9,5.57,0.54,0.78,1.08,20.45,Equity : Sectoral - Financial Services,1% on or before 15D Nil after 15D
Quant Business Cycle Fund-Reg(G),Sandeep Tandon,EQ-THEM,4,1537.3,2.06,Open Ended,30-May-23,NIFTY 500 - TRI,17,19.42,14.11,-3.37,-12.08,-2.95,19.73,13.35,6.29,5.88,6.16,342,29,85068,49.71,9.49,36.95,Healthcare,0.13,0.14,7.32,11.14,0.84,1.24,1.03,19.35,Equity : Thematic,1% on or before 15D Nil after 15D
Quant Commodities Fund-Reg(G),Ankit Pande,EQ-THEM,1,446.2,2.43,Open Ended,27-Dec-23,NIFTY COMMODITIES - TRI,13.97,15.34,9.78,-0.65,-9.53,4.65,37.43,7.49,5.54,5.09,13.45,452,16,45776,31.05,4.48,55.98,Chemicals,7.23,3.79,7.09,25.7,1.32,2,1.12,23.71,Equity : Thematic,1% on or before 15D Nil after 15D
Quant Consumption Fund-Reg(G),Sandeep Tandon,EQ-CONS,3,337.7,2.41,Open Ended,24-Jan-24,Nifty India Consumption - TRI,10.64,12.03,9.84,-3.92,-11.59,-5.2,22.98,13.8,5.95,31.66,8.11,348,17,49752,44.3,24.06,24.66,FMCG,4.61,9.46,7.33,3.48,0.8,17.15,1.15,13.67,Equity : Thematic - Consumption,1% on or before 15D Nil after 15D
Quant Dynamic Asset Allocation Fund-Reg(G),Sandeep Tandon,HY-DYN,5,1341.1,2.12,Open Ended,12-Apr-23,NIFTY 50 Hybrid Composite Debt 50:50 Index,16.28,17.6,13.38,-0.91,-7.2,-3.78,20.15,7.64,5.72,18.13,11.41,378,18,259036,76.52,1.81,9.15,Financials,3.62,0.01,6.79,10.96,1.06,1.63,1.83,15.4,Hybrid : Dynamic Asset Allocation,1% on or before 15D Nil after 15D
Quant ELSS Tax Saver Fund(G),Ankit Pande,EQ-ELSS,5,10799,1.71,Open Ended,13-Apr-00,NIFTY 500 - TRI,358.74,416.78,322.26,-3.96,-13.76,-11.45,9.31,19.78,17.53,30.47,20.24,137,36,233530,85.26,5.38,5.9,Energy,2.85,0.11,7.74,1.81,0.39,0.56,1.02,17.92,Equity : Tax Saving (ELSS),Nil
Quant ESG Equity Fund-Reg(G),Ankit Pande,EQ-THEM,4,312.3,2.42,Open Ended,05-Nov-20,NIFTY100 ESG - TRI,33.2,37.75,28.19,-4.27,-11.36,-3.92,17.2,21.73,19.91,5.98,6.11,503,19,118781,54.39,12.93,26.43,Financials,1.32,0.11,6.84,9.53,0.88,1.33,0.86,15.8,Equity : Thematic,1% on or before 15D Nil after 15D
Quant Flexi Cap Fund(G),Ankit Pande,EQ-FLEX,5,7331.4,1.78,Open Ended,23-Sep-08,NIFTY 500 - TRI,97.72,111.94,83.77,-2.09,-12.97,-9.59,14.79,22.82,19.15,31.57,18.35,299,34,220915,74.52,5.69,13.77,Financials,3.07,0.29,7.57,7.41,0.71,1.03,0.99,17.53,Equity : Flexi Cap,1% on or before 15D Nil after 15D
Quant Focused Fund(G),Ankit Pande,EQ-LC,1,1117.9,2.18,Open Ended,01-Aug-08,NIFTY 500 - TRI,86.54,97.22,75.72,-2.35,-11.36,-6.43,12.11,21.01,17.2,21.74,15.53,453,17,339011,87.11,21.45,4.32,Financials,6.12,3.21,7.34,4.59,0.58,0.9,0.93,15.98,Equity : Large Cap,1% on or before 15D Nil after 15D
Quant Gilt Fund-Reg(G),Sanjeev Sharma,DT-GILT,2,125.5,1.41,Open Ended,21-Dec-22,CRISIL Dynamic Gilt Index,11.44,11.44,10.61,0.49,1.09,3.69,7.58,6.84,22.93,14.06,12.68,0,50,175786,32.02,18.37,8.42,Financials,8.64,4.84,6.92,1.81,3.48,7.32,0.52,0.97,Debt : Gilt,Nil
Quant Healthcare Fund-Reg(G),Sandeep Tandon,EQ-PHRM,2,439.6,2.39,Open Ended,17-Jul-23,Nifty India Consumption - TRI,16.12,17.63,12.4,-1.83,-7.2,7.28,30.19,23.02,6.08,26.63,6.24,223,21,16782,15.7,17.86,65.41,Healthcare,7.24,2.65,7.24,21.8,1.4,2.2,0.69,18.03,Equity : Sectoral - Pharma,1% on or before 15D Nil after 15D
Quant Infrastructure Fund(G),Ankit Pande,EQ-INFRA,5,3585.3,1.9,Open Ended,26-Aug-07,Nifty Infrastructure - TRI,39.61,44.31,31.72,-0.66,-8.54,-9.14,22.96,27.97,23.42,35.06,18.74,269,24,100456,59.16,4.66,31.37,Energy,9.14,3.11,7.24,14.39,0.92,1.35,1.2,22.18,Equity : Sectoral - Infrastructure,0.50% on or before 3M Nil after 3M
Quant Large & Mid Cap Fund(G),Ankit Pande,EQ-L&M,5,3692.7,1.9,Open Ended,11-Dec-06,NIFTY LargeMidcap 250 - TRI,119.19,132.04,99.2,-0.75,-9.99,-7.93,18.31,25.61,21.53,25.64,18.02,262,31,166721,53.5,37.8,2.64,FMCG,4.24,4.38,4.12,9.88,0.83,1.21,0.99,17.94,Equity : Large & Mid Cap,1% on or before 15D Nil after 15D
Quant Large Cap Fund-Reg(G),Sandeep Tandon,EQ-LC,2,2543.3,1.93,Open Ended,10-Aug-22,NIFTY 100 - TRI,14.99,16.38,12.8,-1.72,-9.07,-3.88,14.31,21.42,16.05,6.57,14.69,446,27,238588,79.17,5.91,8.92,Financials,8.81,0.79,8.02,6.88,0.72,1.11,0.9,15.75,Equity : Large Cap,1% on or before 15D Nil after 15D
Quant Liquid Plan(G),Sanjeev Sharma,DT-LIQ,5,1845.3,0.52,Open Ended,29-Sep-05,CRISIL Liquid Debt Index,39.97,39.97,37.34,0.59,1.73,3.46,7.06,6.87,6.17,5.47,6.5,0,61,191762,69.87,4.66,42.6,Capital Goods,0.13,0.12,7.38,1.51,10.21,12.32,1.26,0.15,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Quant Manufacturing Fund-Reg(G),Sandeep Tandon,EQ-THEM,5,1007,2.22,Open Ended,14-Aug-23,Nifty India Manufacturing - TRI,15.7,17.81,12.38,-2.62,-12.34,-6,23.97,10.1,6.4,6.15,15.93,342,29,46211,39.85,7.66,50.71,Chemicals,4.04,0.46,7.15,14.89,0.99,1.49,1.02,20.14,Equity : Thematic,1% on or before 15D Nil after 15D
Quant Mid Cap Fund(G),Ankit Pande,EQ-MID,5,8941.2,1.75,Open Ended,26-Feb-01,Nifty Midcap 150 - TRI,225.37,253.48,187.92,-0.49,-9.92,-9.57,19.22,26.94,24.04,32.2,18.12,228,27,91634,17.32,69.88,3.88,Energy,10.68,6.18,7.46,11.04,0.83,1.21,1.01,19.34,Equity : Mid Cap,0.50% on or before 3M Nil after 3M
Quant Momentum Fund-Reg(G),Sandeep Tandon,EQ-THEM,2,2056.8,2.08,Open Ended,20-Nov-23,NIFTY 500 - TRI,14.34,16.24,11.44,-3.03,-11.92,-9.16,24.27,39.09,5.81,13.5,14.2,520,23,224154,70.26,9.66,13.57,Financials,4.22,0.37,7.15,15.3,1.07,1.58,1.05,19.27,Equity : Thematic,1% on or before 15D Nil after 15D
